id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified
126,1478172354979282944,https://twitter.com/GustShrugs/statuses/1478172354979282944,https://twitter.com/GustShrugs/statuses/1478172354979282944,GustShrugs,"Antlers In Space! Ultimate Frisbee? | !discord !socials  
 https://t.co/RamuPuccGU 
 #furry #vtuber #twitchstreamer","Antlers In Space! Ultimate Frisbee? | !discord !socials  
 https://t.co/RamuPuccGU 
 #furry #vtuber #twitchstreamer",2022-01-03 20:12:07,Mix It Up App,7,0,en,,original,,0,0,,0,0,1101519131491237888,https://pbs.twimg.com/profile_images/1404588199746416649/0up3Kf2a_normal.jpg,2050,1515,364,2019-03-01 11:26:40,🐺🦌Elk/Wolf Furry🔞|🌈|🎮Streamer |💉| 👨‍❤️‍👨@BastianSnugs |🌳https://t.co/jAkQbxmawo | @Furality Team Member | @Storytellers_T | @WildAbandonTeam,"Ontario, Canada",
127,1478170686959099911,https://twitter.com/blennnbo/statuses/1478170686959099911,https://twitter.com/blennnbo/statuses/1478170686959099911,blennnbo,"@ijustbluemyself personally, ultimate frisbee practice","@ijustbluemyself personally, ultimate frisbee practice",2022-01-03 20:05:29,Twitter for iPhone,6,0,en,,reply,ijustbluemyself,801813872,1478160428635148289,,0,0,1127657876275773440,https://pbs.twimg.com/profile_images/1245944720053985285/9rjTniuY_normal.jpg,2288,342,79,2019-05-12 15:32:43,instagram baddie and disappointment bu22,"Boston, MA",
128,1478165712401170433,https://twitter.com/BoazFlower/statuses/1478165712401170433,https://twitter.com/BoazFlower/statuses/1478165712401170433,BoazFlower,"@Staycoolnft Heck yeah! 🧊 

Loving ultimate frisbee atm but I’m a surfer at heart 💯","@Staycoolnft Heck yeah! 🧊 

Loving ultimate frisbee atm but I’m a surfer at heart 💯",2022-01-03 19:45:43,Twitter for iPhone,1,0,en,,reply,Staycoolnft,1456630258531188738,1478163551437135872,,0,0,3039495026,https://pbs.twimg.com/profile_images/1476678683582558231/Okb41sI9_normal.jpg,904,270,198,2015-02-24 07:09:29,"“And I knew exactly what to do. But in a much more real sense, I had no idea what to do.” – Michael Scott | NFT & Crypto Hodler",,
129,1478149927985299456,https://twitter.com/NathanJ78215585/statuses/1478149927985299456,https://twitter.com/NathanJ78215585/statuses/1478149927985299456,NathanJ78215585,@Jomboy_ please do an ultimate frisbee breakdown. its a growing sport and more people should be introduced to it through your channel.,@Jomboy_ please do an ultimate frisbee breakdown. its a growing sport and more people should be introduced to it through your channel.,2022-01-03 18:43:00,Twitter for iPhone,1,0,en,,original,,0,0,,0,0,1226652621026390017,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,5,15,1,2020-02-09 18:42:36,Hi,,
130,1478126345267949580,https://twitter.com/Alpal_ultimate/statuses/1478126345267949580,https://twitter.com/Alpal_ultimate/statuses/1478126345267949580,Alpal_ultimate,@Yzuhla shes like if ultimate frisbee was real,@Yzuhla shes like if ultimate frisbee was real,2022-01-03 17:09:17,Twitter for Android,0,0,en,,reply,Yzuhla,1412512627067064324,1478125809999269890,,0,0,1017518956624609281,https://pbs.twimg.com/profile_images/1468875001289920513/eZDocJic_normal.jpg,77058,1033,257,2018-07-12 17:19:58,RT HEAVY || art acc @alpalarts || Ananas Peloquin on Ultros and Faerie/Wind-up Emmanellain on Balmung || proship dni,"pronouns? no, connouns ((any))",
131,1478111495246561288,https://twitter.com/SamSmit64246628/statuses/1478111495246561288,https://twitter.com/SamSmit64246628/statuses/1478111495246561288,SamSmit64246628,"RT @lizzie_self5: how do I always miss the memo re: intros for undergrad programs. Everyone pastes in their linkedin page &amp; I be like, “hi…","how do I always miss the memo re: intros for undergrad programs. Everyone pastes in their linkedin page &amp; I be like, “hi I’m Lizzie I like riding horses and ultimate frisbee”",2022-01-03 16:10:17,Twitter Bot 1996,0,1,en,,retweet,,0,0,lizzie_self5,3013839686,1478099228169629697,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
132,1478099228169629697,https://twitter.com/lizzie_self5/statuses/1478099228169629697,https://twitter.com/lizzie_self5/statuses/1478099228169629697,lizzie_self5,"how do I always miss the memo re: intros for undergrad programs. Everyone pastes in their linkedin page &amp; I be like, “hi I’m Lizzie I like riding horses and ultimate frisbee”","how do I always miss the memo re: intros for undergrad programs. Everyone pastes in their linkedin page &amp; I be like, “hi I’m Lizzie I like riding horses and ultimate frisbee”",2022-01-03 15:21:32,Twitter for iPhone,5,1,en,,original,,0,0,,0,0,3013839686,https://pbs.twimg.com/profile_images/1474841609879523329/UC3j0RPq_normal.jpg,1064,464,255,2015-02-08 19:16:10,"22 | Notre Dame ‘22 | Great Books, theology, & Constitutional Studies | @IrishRoverND | founder of nothing",,
133,1478081294655500294,https://twitter.com/SamSmit64246628/statuses/1478081294655500294,https://twitter.com/SamSmit64246628/statuses/1478081294655500294,SamSmit64246628,RT @RealLucaso345: I think the most shocking part of going to the Packers game last night is seeing teams go a full 100 yards in ultimate f…,I think the most shocking part of going to the Packers game last night is seeing teams go a full 100 yards in ultimate frisbee.,2022-01-03 14:10:16,Twitter Bot 1996,0,1,en,,retweet,,0,0,RealLucaso345,609311382,1478074953341837320,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
134,1478074953341837320,https://twitter.com/RealLucaso345/statuses/1478074953341837320,https://twitter.com/RealLucaso345/statuses/1478074953341837320,RealLucaso345,I think the most shocking part of going to the Packers game last night is seeing teams go a full 100 yards in ultimate frisbee.,I think the most shocking part of going to the Packers game last night is seeing teams go a full 100 yards in ultimate frisbee.,2022-01-03 13:45:04,Twitter for iPhone,3,1,en,,original,,0,0,,0,0,609311382,https://pbs.twimg.com/profile_images/1470145441002053633/nIl6RJrn_normal.jpg,313,1744,1680,2012-06-15 12:16:04,He/Him. Big fan of all Wisconsin Sports teams! Contributor for @BehindTheBucks @DairylandXpress. Donte DiVincenzo wished me a Happy Birthday!,,
135,1478066210575163402,https://twitter.com/SamSmit64246628/statuses/1478066210575163402,https://twitter.com/SamSmit64246628/statuses/1478066210575163402,SamSmit64246628,"RT @discdish1: PSA - Starting now, right now, is the absolute best time to get last year’s cleats at the best prices! https://t.co/zuYQ8n1v…","PSA - Starting now, right now, is the absolute best time to get last year’s cleats at the best prices! https://t.co/zuYQ8n1vKK",2022-01-03 13:10:20,Twitter Bot 1996,0,1,en,,retweet,,0,0,discdish1,1202946234916491270,1478065107410300928,1088163278545670144,https://pbs.twimg.com/profile_images/1090113404121997312/ziWFfFJE_normal.jpg,36825,4,260,2019-01-23 14:55:17,Just lovin life as a frisbee-playing dog and tweeting as a side hustle.,,
