"word","freq","occurrence","anger","anticipation","disgust","joy","sadness","surprise","trust","fear","highest_possibility"
"amp",12,0.03982300884955752,0,1.8729230291160754e-5,2.082251538236724e-5,1.1553609546695053e-4,0,0,0,0,"joy"
"get",12,0.05752212389380531,0,1.3553343435594378e-4,3.0352868701237148e-5,1.3983527144417613e-4,0,3.418527244891693e-5,0,0,"joy"
"time",11,0.048672566371681415,0,2.3164852533093095e-5,2.5920972599267128e-5,1.4263961917866539e-4,0,5.8286906355718556e-5,0,0,"joy"
"footbal",10,0.04424778761061947,0,4.220197239509111e-5,2.378472137118834e-5,1.30392035259742e-4,0,0,0,0,"joy"
"just",10,0.04424778761061947,0,4.237110075994706e-5,4.8018153748658024e-5,1.0926643614662924e-4,0,0,0,0,"joy"
"peopl",10,0.048672566371681415,0,4.679574917649702e-5,0,1.6905653309757203e-4,0,2.9588320338692623e-5,0,0,"joy"
"want",10,0.048672566371681415,0,4.698480239739275e-5,2.6917802644346552e-5,1.4585971270434755e-4,3.799767816011345e-5,0,0,0,"joy"
"year",10,0.04424778761061947,0,4.2886717575890474e-5,2.4708277593922087e-5,8.890156405518e-5,3.523403611678393e-5,2.7105350976063465e-5,0,0,"joy"
"new",9,0.03982300884955752,0,5.813287666933165e-5,0,1.0039413720368617e-4,0,0,0,0,"joy"
"friend",8,0.035398230088495575,0,3.466086698113038e-5,0,8.966494462554688e-5,0,0,0,0,"joy"
"fun",8,0.03982300884955752,0,0,2.245543489864134e-5,1.418992127446633e-4,0,0,0,0,"joy"
"leagu",8,0.03982300884955752,3.5594951554802664e-5,3.915392558140602e-5,0,8.163307506323736e-5,0,0,0,0,"joy"
"now",8,0.03982300884955752,0,7.863140268011347e-5,0,6.146208442180908e-5,0,2.458389269787833e-5,0,0,"anticipation"
"throw",8,0.035398230088495575,0,0,2.015798793030417e-5,9.13203755018475e-5,0,2.2023043425639917e-5,0,0,"joy"
"call",7,0.035398230088495575,1.6146133118597675e-5,5.285772905064848e-5,2.035954124891156e-5,3.6706489994265374e-5,0,0,0,0,"anticipation"
"care",7,0.035398230088495575,0,0,4.1130331535883884e-5,9.194578612918248e-5,0,0,0,0,"joy"
"coach",7,0.02654867256637168,0,0,1.574184902180868e-5,5.5438667046341225e-5,0,0,0,0,"joy"
"colleg",7,0.030973451327433628,1.427501810826745e-5,3.1027577080618e-5,0,3.246690513682232e-5,0,1.942187266587878e-5,0,0,"joy"
"don’t",7,0.030973451327433628,0,1.5579102896417662e-5,7.422708925055397e-5,1.6265562584499983e-5,0,0,0,0,"disgust"
"field",7,0.02654867256637168,0,2.676337155698184e-5,0,4.186713927795572e-5,0,0,0,0,"joy"
"fit",7,0.022123893805309734,0,1.1198651638872836e-5,0,3.4993211410991424e-5,0,0,0,0,"joy"
"great",7,0.030973451327433628,0,1.5711395776432673e-5,0,8.1894776480788e-5,0,0,0,0,"joy"
"join",7,0.035398230088495575,0,5.398224248470455e-5,0,7.524993206226341e-5,0,0,0,0,"joy"
"look",7,0.035398230088495575,0,1.8109661863402906e-5,0,9.444051093186043e-5,0,2.2372560509809067e-5,0,0,"joy"
"soccer",7,0.035398230088495575,0,5.444555861511541e-5,2.212968494484897e-5,1.898348534973608e-5,2.876233178817495e-5,2.2551512293664322e-5,0,0,"anticipation"
"thing",7,0.035398230088495575,1.6486020183557958e-5,0,0,1.1401606619832205e-4,0,0,0,0,"joy"
"think",7,0.035398230088495575,0,0,2.2372832626338873e-5,9.559325859285618e-5,0,2.2733349897246228e-5,0,0,"joy"
"volleybal",7,0.02654867256637168,0,2.7399149336885065e-5,0,4.323686310425201e-5,0,0,0,0,"joy"
"well",7,0.030973451327433628,0,4.81565087806425e-5,0,3.373213216558581e-5,0,2.00533757318891e-5,0,0,"anticipation"
"athlet",6,0.030973451327433628,0,1.615730330076457e-5,0,8.450365075403195e-5,0,0,0,0,"joy"
"dog",6,0.022123893805309734,0,1.1566181834499886e-5,0,3.640289339571119e-5,0,0,0,0,"joy"
"golf",6,0.030973451327433628,0,1.6228161031566524e-5,0,8.520411675734844e-5,0,0,0,0,"joy"
"good",6,0.030973451327433628,0,1.6263823384081904e-5,0,6.851826789757714e-5,2.5691220646196614e-5,0,0,0,"joy"
"halftim",6,0.030973451327433628,0,1.6299642820818444e-5,0,6.880492059083993e-5,0,2.0217721041951338e-5,0,0,"joy"
"help",6,0.030973451327433628,0,3.267124076387908e-5,0,6.909398181734986e-5,0,0,0,0,"joy"
"name",6,0.030973451327433628,1.457871337243115e-5,0,3.958741977257789e-5,3.469274103035808e-5,0,2.038478233213638e-5,0,0,"disgust"
"person",6,0.030973451327433628,0,1.6408054085424622e-5,0,6.953215647811788e-5,0,2.0554627489603948e-5,0,0,"joy"
"realli",6,0.030973451327433628,0,3.2889024706470264e-5,2.0243499769444507e-5,5.2370530152427135e-5,0,0,0,0,"joy"
"take",6,0.030973451327433628,1.4735458977268266e-5,0,2.047614843210121e-5,7.005043668514645e-5,0,0,0,0,"joy"
"today",6,0.030973451327433628,1.4895611745682845e-5,3.303583422346478e-5,0,5.276256043458689e-5,0,0,0,0,"joy"
"tri",6,0.030973451327433628,0,6.63679205166309e-5,0,3.52882505908135e-5,0,0,0,0,"anticipation"
"week",6,0.02654867256637168,0,1.4350385729530707e-5,0,4.5468166939325366e-5,0,1.776628001400427e-5,0,0,"joy"
"work",6,0.030973451327433628,1.5059283989535317e-5,1.6780076417085095e-5,0,7.095712567337473e-5,0,0,0,0,"joy"
"also",5,0.02654867256637168,0,0,1.7755034266064963e-5,1.5270984327085567e-5,2.2489459250534605e-5,3.583363368615347e-5,0,0,"surprise"
"basketbal",5,0.02654867256637168,0,1.4415607355770291e-5,1.7963885165330316e-5,3.057509034737829e-5,2.2978234288000532e-5,0,0,0,"joy"
"catch",5,0.022123893805309734,0,0,1.514808991038192e-5,3.830193714628522e-5,0,0,0,0,"joy"
